PassengerId,Pclass,Survived,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Boat,Body,Home/Dest
37,3,0,"Peter, Mr. Davis",male,38.0,0,0,315089,8.6625,,S,,,Croatia
38,1,1,"Mullens, Mr. Jay",male,45.0,1,1,16966,134.5,E34,C,3,,"Tuxedo Park, NY"
39,3,0,"Rowe, Miss. Alyssa",female,2.0,0,1,347054,10.4625,G6,S,,,
40,3,0,"Farrell, Mr. Linwood",male,,0,0,349227,7.8958,,S,,,
41,1,1,"Peduzzi, Mrs. Monica",female,39.0,1,1,110413,79.65,E67,S,8,,"New York, NY"
42,3,0,"Coxon, Miss. Nadine",female,3.0,1,1,SOTON/O.Q. 3101315,13.775,,S,,,
43,1,0,"Bucknell, Mr. Quinton",male,50.0,0,0,113044,26.0,E60,S,,,London
44,3,0,"Reuchlin, Mr. Bert",male,25.0,0,0,349203,7.8958,,S,,,"Bulgaria Chicago, IL"
45,3,0,"Vendel, Mr. Josue",male,40.0,1,4,347088,27.9,,S,,,
46,2,1,"Torfa, Miss. Kendra",female,20.0,2,1,29105,23.0,,S,4,,"Cornwall / Akron, OH"
47,3,1,"Robins, Miss. Leigh",female,4.0,1,1,PP 9549,16.7,G6,S,13,,
48,2,0,"Naughton, Mr. Perry",male,40.0,0,0,239059,16.0,,S,,,"Weston-Super-Mare / Moose Jaw, SK"
49,1,1,"Ovies y Rodriguez, Mrs. Rachel",female,51.0,1,0,13502,77.9583,D11,S,10,,"Hudson, NY"
50,3,0,"Holm, Mr. Vaughn",male,,0,0,376563,8.05,,S,,,
51,1,0,"Wirz, Mr. Lee",male,18.0,1,0,PC 17758,108.9,C65,C,,,"Madrid, Spain"
52,1,1,"Stanley, Miss. Debbie",female,21.0,0,0,113795,26.55,,S,8 10,,"Duluth, MN"
53,3,0,"Petranec, Master. Loren",male,5.0,4,2,347077,31.3875,,S,,,"Sweden  Worcester, MA"
54,2,1,"McCaffry, Mrs. Sue",female,24.0,1,0,244367,26.0,,S,12,,"Moscow / Bronx, NY"
55,3,0,"Ibrahim Shawah, Miss. Ramona",female,22.0,0,0,7552,10.5167,,S,,,"Norrlot, Sweden Chicago, IL"
56,3,0,"Kink, Mr. Alton",male,20.0,0,0,SOTON/O2 3101287,7.925,,S,,,"Salo, Finland Astoria, OR"
57,3,0,"Carver, Mr. Ariel",male,,0,0,S.O./P.P. 751,7.55,,S,,,
58,1,1,"Dahlberg, Mr. Henry",male,27.0,0,0,113804,30.5,,S,3,,"Philadelphia, PA"
59,1,0,"Wilkes, Mr. Victor",male,42.0,1,0,113789,52.0,,S,,38.0,"New York, NY"
60,3,0,"Olsson, Mr. Alphonse",male,44.0,0,0,363592,8.05,,S,,,
61,3,1,"Kallio, Mr. Carmelo",male,25.0,1,0,347083,7.775,,S,15,,
62,1,1,"Gee, Mrs. Lori",female,44.0,0,1,111361,57.9792,B18,C,4,,"Chicago, IL"
63,2,0,"Carr, Mr. Karl",male,18.0,0,0,236171,13.0,,S,,,"Oslo, Norway Bayonne, NJ"
64,2,1,"Khalil, Master. Sam",male,1.0,2,1,230136,39.0,F4,S,11,,"Guntur, India / Benton Harbour, MI"
65,3,1,"Rosblom, Mr. Son",male,20.0,1,0,STON/O 2. 3101285,7.925,,S,15,,
66,3,0,"Shelley, Mr. Chase",male,,0,0,349220,7.8958,,S,,,
67,3,0,"Johannesen-Bratthammer, Mr. Guadalupe",male,29.0,1,0,3460,7.0458,,S,,,"Bridgerule, Devon"
68,3,0,"Smart, Mr. Jame",male,27.0,0,0,349229,7.8958,,S,,,Austria
69,1,1,"Cunningham, Miss. Pamela",female,39.0,1,1,PC 17756,83.1583,E49,C,14,,"Lakewood, NJ"
70,3,1,"Salomon, Miss. Vickie",female,16.0,0,0,348125,7.65,,S,16,,"Norway Los Angeles, CA"
71,3,0,"Beattie, Mrs. Lee",female,,1,2,W./C. 6607,23.45,,S,,,
72,3,0,"Mellors, Mr. Roman",male,33.0,0,0,349241,7.8958,,C,,51.0,"Austria Niagara Falls, NY"
73,3,0,"Goldenberg, Mr. Harrison",male,21.0,0,0,8475,8.4333,,S,,,
74,3,0,"Smyth, Mr. Errol",male,21.0,0,0,STON/O 2. 3101280,7.925,,S,,,
75,3,0,"Chisholm, Mrs. Silvia",female,31.0,1,0,345763,18.0,,S,,,
76,3,1,"Barbara, Mr. Landon",male,,0,0,2677,7.2292,,C,15,,
77,3,0,"Healy, Mr. Arron",male,34.0,0,0,363294,8.05,,S,,176.0,
78,3,0,"Olsen, Mr. Dominick",male,47.0,0,0,A/5 3902,7.25,,S,,,"Illinois, USA"
79,3,0,"Ryerson, Miss. Christy",female,9.0,4,2,347082,31.275,,S,,,"Sweden Winnipeg, MN"
80,2,0,"Dorking, Mr. Sidney",male,31.0,0,0,C.A. 18723,10.5,,S,,165.0,"Sweden / Arlington, NJ"
81,1,1,"Drapkin, Mrs. Marie",female,27.0,1,2,F.C. 12750,52.0,B71,S,3,,"Montreal, PQ"
82,3,0,"Yasbeck, Mr. Maxwell",male,,0,0,3411,8.7125,,C,,,
83,1,1,"Case, Dr. Roger",male,53.0,1,1,33638,81.8583,A34,S,13,,"San Francisco, CA"
84,2,1,"Hickman, Mrs. Joann",female,28.0,1,0,2003,26.0,,S,14,,"England / San Francisco, CA"
85,3,0,"Harbeck, Mr. Rodrigo",male,26.0,0,0,3474,7.8875,,S,,,"England Albion, NY"
86,1,0,"Hansen, Mr. Larry",male,17.0,0,0,113059,47.1,,S,,,"Montevideo, Uruguay"
87,3,0,"Augustsson, Mr. Giovanni",male,15.0,1,1,2695,7.2292,,C,,,Syria
88,2,1,"Pasic, Master. Franklin",male,8.0,1,1,C.A. 33112,36.75,,S,14,,"St Ives, Cornwall / Hancock, MI"
89,3,0,"Bentham, Mr. Jermaine",male,26.0,0,0,349224,7.8958,,S,,,"Bulgaria Chicago, IL"
90,2,1,"Ilmakangas, Mrs. Bessie",female,33.0,0,2,26360,26.0,,S,11,,"Plymouth, Devon / Detroit, MI"
91,1,0,"Calderhead, Mr. Joseph",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,,,"Montreal, PQ"
92,3,0,"Hale, Mr. Donny",male,25.0,1,0,347076,7.775,,S,,,
93,3,1,"Andersen-Jensen, Mrs. Gwen",female,,1,0,376564,16.1,,S,10,,
94,2,1,"Lurette, Mrs. Jamie",female,36.0,0,0,28551,13.0,D,S,10,,"Bristol, Avon / Jacksonville, FL"
95,3,0,"Ahlin, Mr. Duncan",male,35.0,0,0,373450,8.05,,S,,,"Lower Clapton, Middlesex or Erdington, Birmingham"
96,3,0,"Bonnell, Mr. Tommie",male,23.0,1,0,347072,13.9,,S,,,"West Haven, CT"
97,2,0,"Hosono, Mr. Lynn",male,27.0,0,0,244358,26.0,,S,,,"Hornsey, England"
98,2,0,"Staneff, Mr. Hugh",male,24.0,2,0,S.O.C. 14879,73.5,,S,,,"West Hampstead, London / Neepawa, MB"
99,2,0,"Saundercock, Mr. Sheldon",male,35.0,0,0,233734,12.35,,Q,,,
100,3,1,"Howard, Mrs. Luz",female,26.0,1,1,315153,22.025,,S,2,,
101,3,0,"Albimona, Mr. Ned",male,29.0,0,0,STON/O 2. 3101268,7.925,,S,,,
102,3,0,"Mannion, Mr. Carey",male,22.0,0,0,347065,7.775,,S,,,
103,2,0,"Wilhelms, Mr. Gabriel",male,29.0,1,0,SC/PARIS 2167,27.7208,,C,,295.0,"Lucca, Italy / California"
104,1,1,"Krekorian, Mrs. Josephine",female,18.0,1,0,13695,60.0,C31,S,6,,"Huntington, WV"
105,3,1,"Ismay, Mr. Hiram",male,39.0,0,0,STON/O 2. 3101289,7.925,,S,9,,
106,2,1,"Edvardsson, Miss. Allison",female,18.0,0,2,250652,13.0,,S,16,,"Finland / Minneapolis, MN"
107,3,0,"Downton, Mr. Solomon",male,23.0,0,0,SOTON/O.Q. 3101309,7.05,,S,,,
108,3,1,"Reynolds, Mrs. Bernadette",female,,1,0,370365,15.5,,Q,,,
109,3,1,"Hamalainen, Miss. Tricia",female,22.0,0,0,347081,7.75,,S,13,,
110,3,0,"Flynn, Mr. Scottie",male,27.0,1,0,2659,14.4542,,C,C,,
111,3,1,"Slayter, Master. Carmine",male,7.0,1,1,2650,15.2458,,C,C,,
112,2,1,"Khalil, Miss. Eleanor",female,4.0,2,1,230136,39.0,F4,S,11,,"Guntur, India / Benton Harbour, MI"
113,1,1,"Sloper, Mr. Dustin",male,21.0,0,1,PC 17597,61.3792,,C,A,,"Geneva, Switzerland / Radnor, PA"
114,3,0,"Osen, Mr. Rodrigo",male,25.0,0,0,SOTON/O.Q. 3101312,7.05,,S,,79.0,Argentina
115,3,0,"Kassem, Mrs. Sabrina",female,48.0,1,3,W./C. 6608,34.375,,S,,,"Rotherfield, Sussex, England Essex Co, MA"
116,1,1,"Roebling, Mrs. Rosa. Barrett)",female,54.0,1,0,PC 17603,59.4,,C,6,,"New York, NY"
117,2,0,"Windelov, Mr. Monte",male,16.0,0,0,239865,26.0,,S,,,"Liverpool / Montreal, PQ"
118,3,0,"Coelho, Mr. Hollis",male,19.0,0,0,349212,7.8958,,S,,,
119,1,0,"Miles, Mr. Dennis",male,47.0,0,0,5727,25.5875,E58,S,,,"Victoria, BC"
120,1,0,"Maenpaa, Col. David",male,47.0,1,0,PC 17757,227.525,C62 C64,C,,124.0,"New York, NY"
121,3,0,"Lindell, Mr. Gregg",male,19.0,0,0,323951,8.05,,S,,,England
122,3,1,"Ford, Miss. Iris",female,,0,0,370375,7.75,,Q,16,,
123,3,0,"Hirvonen, Mr. Hunter",male,25.0,0,0,2672,7.225,,C,,,
124,2,0,"de Brito, Mr. Kerry",male,36.0,1,2,C.A. 34651,27.75,,S,,,"Bournmouth, England"
125,3,0,"Haas, Mr. Rory",male,,0,0,349255,7.8958,,C,,,
126,3,0,"Ryerson, Miss. Deanna",female,11.0,4,2,347082,31.275,,S,,,"Sweden Winnipeg, MN"
127,3,0,"Laroche, Miss. Lynda",female,28.0,0,0,347086,7.775,,S,,,
128,1,0,"McGowan, Mr. Galen",male,,0,0,113798,31.0,,S,,,
129,3,1,"de Pelsmaeker, Miss. Genevieve",female,27.0,0,0,STON/O2. 3101283,7.925,,S,,,
130,3,0,"Dakic, Mr. Aurelio",male,,0,0,2676,7.225,,C,,,
131,3,0,"Hocking, Mr. Gilberto",male,26.0,1,0,2680,14.4542,,C,,,Greece
132,2,1,"Wiseman, Mrs. Glenda",female,29.0,1,0,228414,26.0,,S,10,,"Bromsgrove, England / Montreal, PQ"
133,3,0,"Ponesell, Mr. Jarrett",male,21.0,1,0,3101266,6.4958,,S,,,
134,2,1,"Tornquist, Mrs. Clara",female,28.0,1,0,P/PP 3381,24.0,,C,10,,"Russia New York, NY"
135,3,0,"Mellinger, Mr. Dallas",male,29.0,0,0,343276,8.05,,S,,,
136,2,0,"Maioni, Mr. Lindsey",male,31.0,1,1,S.C./PARIS 2079,37.0042,,C,,,"Paris / Montreal, PQ"
137,2,1,"Rheims, Mrs. Brittany",female,48.0,1,2,220845,65.0,,S,9,,"Somerset / Bernardsville, NJ"
138,3,1,"Dyker, Mr. Cornell",male,14.0,0,0,7538,9.225,,S,13,,
139,3,0,"Aldworth, Mr. Elliott",male,22.0,0,0,350060,7.5208,,S,,,
140,3,1,"Vanden Steen, Mr. Stan",male,,0,0,65306,8.1125,,S,13,,
141,3,0,"Goodwin, Mr. Logan",male,,1,0,65304,19.9667,,S,,,
142,3,0,"Eklund, Master. Emery",male,2.0,3,1,349909,21.075,,S,,4.0,
143,3,0,"Corbett, Mr. Doyle",male,22.5,0,0,2698,7.225,,C,,9.0,
144,3,1,"Phillips, Master. Reynaldo",male,9.0,0,2,363291,20.525,,S,C D,,"Strood, Kent, England Detroit, MI"
145,3,0,"Todoroff, Mr. Jasper",male,22.0,0,0,350052,7.7958,,S,,156.0,
146,3,0,"Shorney, Miss. Mable",female,20.0,0,0,315096,8.6625,,S,,,
147,3,0,"Clarke, Mr. Sanford",male,25.0,0,0,STON/O 2. 3101291,7.925,,S,,,
148,3,0,"Potter, Mr. Fletcher",male,,0,0,371060,7.75,,Q,,,
149,1,1,"Marvin, Mrs. Andrea",female,35.0,1,0,19943,90.0,C93,S,D,,"New York, NY /  Stamford CT"
150,2,1,"McNeill, Mrs. Vivian",female,45.0,1,1,F.C.C. 13529,26.25,,S,14,,"Ilford, Essex / Winnipeg, MB"
151,1,1,"Lesurer, Major. Melvin",male,52.0,0,0,113786,30.5,C104,S,6,,"Toronto, ON"
152,3,0,"Bishop, Mr. Buford",male,,0,0,349222,7.8958,,S,,,
153,2,0,"Staneff, Mr. Dwayne",male,21.0,2,0,S.O.C. 14879,73.5,,S,,,"West Hampstead, London / Neepawa, MB"
154,3,0,"O'Connell, Master. Emmanuel",male,11.0,5,2,CA 2144,46.9,,S,,,"Wiltshire, England Niagara Falls, NY"
155,3,0,"Walcroft, Mr. Harley",male,23.5,0,0,2693,7.2292,,C,,188.0,
156,1,1,"Mernagh, Miss. Kendra",female,26.0,0,0,19877,78.85,,S,6,,
157,3,0,"Olsson, Mr. Alphonse",male,34.5,0,0,330911,7.8292,,Q,,70.0,
158,1,0,"Quick, Mr. Jack",male,39.0,0,0,PC 17580,29.7,A18,C,,133.0,"Philadelphia, PA"
159,1,1,"Rasmussen, Miss. Carol",female,45.0,0,0,PC 17608,262.375,,C,4,,"Cooperstown, NY"
160,3,0,"Vendel, Miss. Eloise",female,9.0,3,2,347088,27.9,,S,,,
161,2,0,"Brocklebank, Mr. Sergio",male,30.0,0,0,233478,13.0,,S,,,"Sarnia, ON"
162,3,0,"McGough, Mr. Graham",male,,0,0,370372,7.75,,Q,,,
163,1,1,"Calderhead, Mrs. Margaret",female,50.0,0,1,PC 17558,247.5208,B58 B60,C,6,,"Montreal, PQ"
164,3,0,"Kassem, Mr. Frederic",male,,0,0,A/5 1478,8.05,,S,,,"Bridgwater, Somerset, England"
165,2,0,"Paulner, Mr. Elmer",male,32.0,0,0,244360,13.0,,S,,,"Portugal / Sau Paulo, Brazil"
166,3,0,"Dick, Mr. Cornelius",male,16.0,0,0,345778,9.5,,S,,,
167,3,0,"Touma, Mrs. Alison",female,,1,0,2660,14.4542,,C,,,
168,3,1,"Strilic, Mrs. Jo",female,35.0,1,1,C.A. 2673,20.25,,S,A,,"East Providence, RI"
169,2,0,"Davison, Mr. Isaac",male,25.0,1,2,SC/Paris 2123,41.5792,,C,,,Paris / Haiti
170,2,1,"Spedden, Mrs. Marion",female,29.0,1,0,2926,26.0,,S,16,,
171,1,1,"Sundman, Mr. Douglas ",male,51.0,0,0,113055,26.55,E17,S,5 9,,"Lima, Peru"
172,1,1,"Mullens, Master. Jackie",male,6.0,0,2,16966,134.5,E34,C,3,,"Tuxedo Park, NY"
173,2,0,"Leader, Mr. Colby",male,37.0,1,0,SC/AH 29037,26.0,,S,,17.0,"Cornwall / Spokane, WA"
174,2,1,"Davison, Mrs. Rosemary",female,22.0,1,2,SC/Paris 2123,41.5792,,C,14,,Paris / Haiti
175,1,0,"Penasco y Castellana, Mr. Jon",male,,0,0,PC 17605,27.7208,,C,,,"Gallipolis, Ohio / ? Paris / New York"
176,2,0,"Najib, Mr. Tyler",male,60.0,1,1,29750,39.0,,S,,,"Cape Town, South Africa / Seattle, WA"
177,1,1,"Doling, Mrs. Angela",female,76.0,1,0,19877,78.85,C46,S,6,,"Little Onn Hall, Staffs"
178,3,0,"Hee, Mr. Dominique",male,,0,0,349214,7.8958,,S,,,
179,3,0,"Daniels, Mr. Salvatore",male,26.0,0,0,349248,7.8958,,S,,,
180,3,1,"Troutt, Miss. Leticia",female,,0,0,35852,7.7333,,Q,16,,
181,2,1,"Isham, Mrs. Delores",female,30.0,3,0,31027,21.0,,S,,,"Elizabeth, NJ"
182,1,1,"Schmidt, Miss. Amy",female,36.0,0,0,PC 17608,262.375,B61,C,4,,
183,3,0,"Devaney, Mr. Grover",male,,0,0,349201,7.8958,,S,,,
184,3,0,"Thomas, Master. Young",male,,1,1,A/5. 851,14.5,,S,,,
185,2,1,"Jones, Mrs. Lynn",female,31.0,1,1,C.A. 31921,26.25,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
186,2,1,"Youseff, Miss. Tanya",female,31.0,0,0,F.C.C. 13528,21.0,,S,14,,"Mamaroneck, NY"
187,2,0,"Lovell, Mr. Alphonse",male,40.0,0,0,28221,13.0,,S,,,"Barre, Co Washington, VT"
188,3,0,"Rothes, Mr. Hal",male,32.0,0,0,STON/O 2. 3101292,7.925,,S,,,
189,3,0,"Mulvihill, Mr. Garland",male,20.0,0,0,7534,9.8458,,S,,,"Waukegan, Chicago, IL"
190,1,1,"Mamee, Mrs. Diane",female,23.0,0,1,11767,83.1583,C54,C,7,,"Mt Airy, Philadelphia, PA"
191,3,0,"Mayne, Master. Lindsey",male,10.0,4,1,382652,29.125,,Q,,,
192,2,0,"Naidenoff, Mr. Dominick",male,54.0,0,0,28403,26.0,,S,,,"Holley, NY"
193,1,0,"Keefe, Mr. Rodrigo",male,40.0,0,0,112059,0.0,B94,S,,110.0,
194,2,1,"Lindstrom, Mr. Ruben",male,26.0,1,1,248738,29.0,,S,13,,"Bangkok, Thailand / Roseville, IL"
195,2,0,"Hickman, Mr. Edgar",male,29.0,1,0,2003,26.0,,S,,,"England / San Francisco, CA"
196,3,1,"Baclini, Miss. Robyn",female,1.0,0,2,2653,15.7417,,C,C,,
197,3,0,"Badman, Mr. Dante",male,16.0,4,1,3101295,39.6875,,S,,,
198,3,1,"Sunderland, Mr. Art",male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S,9,,
199,1,1,"Candee, Mr. Christopher",male,37.0,1,1,11751,52.5542,D35,S,5,,"New York, NY"
200,2,0,"Fry, Mr. Corey",male,18.0,0,0,231945,11.5,,S,,,"Buenos Aires, Argentina / New Jersey, NJ"
201,3,0,"Aubart, Mr. Darin",male,17.0,0,0,349232,7.8958,,S,,,
202,3,0,"Bradley, Miss. Margie",female,17.0,0,0,2627,14.4583,,C,,,
203,1,1,"Hippach, Miss. Rita",female,22.0,0,1,113509,61.9792,B36,C,5,,"Providence, RI"
204,1,0,"Angle, Mr. Marcus",male,56.0,0,0,113792,26.55,,S,,,"New York, NY"
205,3,0,"Peltomaki, Mr. Jarrod",male,18.5,0,0,2682,7.2292,,C,,58.0,
206,1,0,"Sdycoff, Don. Darrell",male,40.0,0,0,PC 17601,27.7208,,C,,,"Mexico City, Mexico"
207,2,0,"McEvoy, Mr. Ramon",male,42.0,0,0,211535,13.0,,S,,,London
208,3,0,"Norman, Miss. Iris",female,18.0,0,0,365226,6.75,,Q,,,
209,3,1,"Porter, Mr. Gus",male,21.0,0,0,345501,7.775,,S,15,,
210,1,1,"Riordan, Mr. Todd",male,49.0,0,0,112058,0.0,B52 B54 B56,S,C,,Liverpool
211,2,0,"Isham, Mr. Doug",male,34.0,1,0,31027,21.0,,S,12,,"Elizabeth, NJ"
212,1,0,"Cunningham, Mr. Walter",male,37.0,1,1,PC 17756,83.1583,E52,C,,,"Lakewood, NJ"
213,3,0,"Bing, Mr. Ethan",male,26.0,1,0,350025,7.8542,,S,,,
214,2,0,"Nourney, Mr. Carlton",male,41.0,0,0,237734,15.0458,,C,,,"New York, NY"
215,3,0,"Lemberopolous, Miss. Kristine",female,20.0,1,0,4136,9.825,,S,,,
216,3,0,"Collander, Mr. Jess",male,38.0,0,0,SOTON/O.Q. 3101306,7.05,,S,,,Portugal
217,3,0,"Stoytcheff, Mr. Rocky",male,25.0,0,0,374887,7.25,,S,B,,
218,3,0,"Karaic, Miss. Rosie",female,,0,0,W./C. 6609,7.55,,S,,,
219,3,0,"Badman, Mr. Clement",male,14.0,4,1,3101295,39.6875,,S,,,
220,2,0,"Brobeck, Mr. Clinton",male,21.0,1,0,28133,11.5,,S,,,"Cornwall / Camden, NJ"
221,3,0,"Chisholm, Miss. Tasha",female,18.0,2,0,345764,18.0,,S,,,
222,3,1,"Sobey, Master. Wiley",male,,1,1,2661,15.2458,,C,C,,
223,1,1,"Lindeberg-Lind, Mrs. Deborah",female,58.0,0,1,PC 17755,512.3292,B51 B53 B55,C,3,,"Germantown, Philadelphia, PA"
224,1,0,"Dean, Mr. Jacob",male,29.0,1,0,113776,66.6,C2,S,,,"Isleworth, England"
225,1,1,"Beauchamp, Mr. Miguel",male,24.0,1,0,21228,82.2667,B45,S,7,,"Minneapolis, MN"
226,2,1,"Astor, Master. Stuart",male,3.0,1,1,230080,26.0,F2,S,D,,"Nice, France"
227,3,0,"Garfirth, Mr. Mauricio",male,41.0,0,0,SOTON/O2 3101272,7.125,,S,,,"Finland Sudbury, ON"
228,3,0,"Hewlett, Mr. Winfred",male,,0,0,367655,7.7292,,Q,,,
229,2,0,"Bateman, Mr. Orlando",male,35.0,0,0,28206,10.5,,S,,,Cornwall
230,3,1,"Peacock, Mrs. Katrina",female,,1,0,386525,16.1,,S,16,,"Liverpool, England Bedford, OH"
231,3,0,"Perkin, Mr. Jarvis",male,32.0,0,0,349242,7.8958,,S,,,
232,3,0,"Bryhl, Mr. Dirk",male,,2,0,2662,21.6792,,C,,,
233,3,0,"Flegenheim, Mr. Carmen",male,21.0,0,0,2692,7.225,,C,,,"Ottawa, ON"
234,1,1,"Gee, Miss. Jane",female,16.0,0,1,111361,57.9792,B18,C,4,,"Chicago, IL"
235,3,0,"Ponesell, Mr. Johnie",male,18.0,1,0,3101267,6.4958,,S,,314.0,
236,1,1,"Pickard, Miss. Lois",female,21.0,0,0,13502,77.9583,D9,S,10,,"Hudson, NY"
237,3,0,"Futrelle, Mr. Royce",male,42.0,0,0,348121,7.65,F G63,S,,120.0,
238,1,0,"Matthews, Mr. Jerry",male,,0,0,110465,52.0,A14,S,,,"Stoughton, MA"
239,2,0,"Pasic, Mr. Andre",male,18.0,0,0,S.O.C. 14879,73.5,,S,,,"Lyndhurst, England"
240,3,0,"Lefebre, Miss. Olive",female,10.0,0,2,345773,24.15,,S,,,
241,2,0,"Leader, Mrs. Geraldine",female,29.0,1,0,SC/AH 29037,26.0,,S,,,"Cornwall / Spokane, WA"
242,3,1,"Beane, Master. Hans",male,4.0,1,1,347742,11.1333,,S,15,,
243,3,0,"Pedersen, Mr. Valentin",male,26.5,0,0,2656,7.225,,C,,304.0,
244,1,0,"Barry, Dr. Dale",male,44.0,2,0,19928,90.0,C78,Q,,230.0,"Fond du Lac, WI"
245,2,0,"Torfa, Mr. Armando",male,36.0,0,0,242963,13.0,,S,,,"Devonport, England"
246,1,1,"Romaine, Mrs. Virginia",female,26.0,1,0,13508,136.7792,C89,C,4,,"Los Angeles, CA"
247,1,0,"Krekorian, Mr. Micheal",male,56.0,0,0,17764,30.6958,A7,C,,,"St James, Long Island, NY"
248,3,0,"Pain, Mr. German",male,,0,0,370374,7.75,,Q,,,
249,3,0,"Sinkkonen, Miss. Janie",female,25.0,1,0,STON/O2. 3101271,7.925,,S,,,
250,2,0,"Brobeck, Mr. Mathew",male,24.0,0,0,248726,13.5,,S,,297.0,"West Kensington, London"
251,3,1,"Landergren, Miss. Nichole",female,,0,0,330919,7.8292,,Q,13,,
252,3,0,"Brady, Mr. Johnathon",male,21.0,0,0,342684,8.05,,S,,,
253,3,0,"Braund, Mr. Tyson",male,30.0,0,0,349246,7.8958,,S,,,
254,3,0,"Masselmani, Mr. Randell",male,32.5,0,0,345775,9.5,,S,,298.0,
255,2,1,"Moor, Mr. Javier",male,34.0,0,0,248698,13.0,D56,S,13,,London
256,3,0,"Ward, Mr. Dudley",male,,0,0,A/5 2817,8.05,,S,,,
257,3,0,"Myhrman, Mr. Vito",male,30.0,0,0,SOTON/OQ 392090,8.05,,S,,,London
258,3,0,"van Melkebeke, Mr. Alphonse",male,40.5,0,0,367232,7.75,,Q,,68.0,"Aughnacliff, Co Longford, Ireland New York, NY"
